中文名稱,英文名稱,近臺強度,最低氣壓(hPa),近臺,最大風速(m/s),7級風暴風半徑(km),10級風暴風半徑(km),發布警報時間,解除警報時間
賴恩,RYAN,中度,955,45,300,100,23,1995-09-20 17:05,1995-09-23 12:15
肯特,KENT,中度,955,45,200,100,32,1995-08-27 17:10,1995-08-31 14:45
珍妮絲,JANIS,輕度,990,23,120,---,10,1995-08-23 17:55,1995-08-24 21:25
海倫,HELEN,輕度,980,23,120,---,15,1995-08-09 11:50,1995-08-11 06:15
蓋瑞,GARY,輕度,980,28,150,---,7,1995-07-31 03:55,1995-07-31 20:45
荻安娜,DEANNA,輕度,995,20,120,---,33,1995-06-04 16:30,1995-06-08 14:50
席斯,SETH,強烈,925,51,350,150,30,1994-10-07 14:45,1994-10-11 05:40
葛拉絲,GLADYS,中度,970,35,200,100,18,1994-08-31 02:35,1994-09-02 02:30
弗雷特,FRED,強烈,935,55,350,150,26,1994-08-19 02:35,1994-08-22 05:50
道格,DOUG,強烈,930,58,350,150,24,1994-08-06 09:10,1994-08-09 06:15
凱特琳,CAITLIN,輕度,987,25,120,---,12,1994-08-03 06:15,1994-08-04 14:30
提姆,TIM,強烈,945,53,250,120,10,1994-07-09 10:20,1994-07-11 15:40
亞伯,ABE,中度,950,43,150,50,15,1993-09-10 21:30,1993-09-14 09:10
楊希,YANCY,強烈,935,51,250,120,8,1993-08-31 21:30,1993-09-02 16:00
塔莎,TASHA,輕度,975,25,200,---,8,1993-08-17 16:10,1993-08-19 09:40
泰德,TED,輕度,985,30,200,50,14,1992-09-20 10:15,1992-09-23 14:55
寶莉,POLLY,輕度,975,23,200,---,17,1992-08-27 11:40,1992-08-31 09:40
歐馬,OMAR,中度,945,40,200,100,11,1992-09-03 08:50,1992-09-05 17:45
馬克,MARK,輕度,988,20,100,---,13,1992-08-16 16:40,1992-08-19 15:10
芭比,BOBBIE,中度,948,48,200,100,10,1992-06-26 15:30,1992-06-28 21:10
席斯,SETH,中度,920,33,250,100,8,1991-11-12 21:45,1991-11-14 15:00
露絲,RUTH,強烈,910,58,350,150,17,1991-10-26 09:50,1991-10-30 09:30
耐特,NAT,強烈,945,51,200,80,11,1991-09-22 10:45,1991-09-24 18:30
耐特,NAT,輕度,945,30,150,50,9,1991-09-30 10:45,1991-10-02 06:30
密瑞兒,MIREILLE,強烈,925,53,300,150,9,1991-09-25 08:30,1991-09-27 06:30
愛麗,ELLIE,中度,965,33,150,50,12,1991-08-16 03:30,1991-08-18 20:10
布籃登,BRENDAN,中度,978,33,250,100,6,1991-07-22 16:10,1991-07-23 18:30
艾美,AMY,強烈,950,51,300,180,10,1991-07-17 16:00,1991-07-19 21:10
艾德,ED,中度,960,33,200,50,6,1990-09-14 02:40,1990-09-15 10:00
黛特,DOT,中度,960,38,350,100,11,1990-09-06 09:50,1990-09-08 21:10
蓓琪,BECKY,輕度,970,30,250,80,6,1990-08-26 04:40,1990-08-27 09:20
亞伯,ABE,中度,955,45,250,120,9,1990-08-29 09:20,1990-08-31 09:10
楊希,YANCY,中度,960,40,200,100,14,1990-08-17 09:50,1990-08-20 15:30
蘿繽,ROBYN,輕度,990,20,150,---,7,1990-07-09 10:40,1990-07-10 21:00
波西,PERCY,強烈,950,51,250,120,16,1990-06-26 16:00,1990-06-30 09:00
歐菲莉,OFELIA,中度,968,38,200,100,13,1990-06-21 16:00,1990-06-24 15:10
瑪麗安,MARIAN,中度,960,40,250,100,6,1990-05-18 09:30,1990-05-19 14:50
安吉菈,ANGELA,強烈,930,67,250,120,9,1989-10-05 09:30,1989-10-07 09:40
薇拉,VERA,輕度,985,25,200,---,6,1989-09-14 15:40,1989-09-15 20:30
莎拉,SARAH,強烈,952,51,300,150,23,1989-09-08 09:50,1989-09-13 20:30
羅拉,LOLA,輕度,980,28,250,---,11,1989-07-31 21:30,1989-08-03 09:10
賀璞,HOPE,輕度,990,25,150,---,6,1989-07-18 09:20,1989-07-19 15:00
戈登,GORDON,強烈,920,65,300,150,11,1989-07-15 09:35,1989-07-17 21:20
白蘭黛,BRENDA,中度,970,35,200,80,9,1989-05-18 15:00,1989-05-20 14:35
魯碧,RUBY,中度,916,48,300,150,8,1988-10-25 16:00,1988-10-27 09:15
派特,PAT,中度,968,38,200,50,8,1988-10-19 15:50,1988-10-21 09:00
歐黛莎,ODESSA,輕度,954,25,150,---,7,1988-10-12 15:50,1988-10-14 03:40
